model,risk_prediction_strength,probability_calibration,benefit_ranking_quality,explainability,model_evaluation_takeaway
XGBoost,Acceptable average test AUC (0.709),"Calibration needs review; avg abs calibration error 0.072, avg Brier 0.057","Top decile predicted benefit 0.048; observed gap not positive (-0.016, 95% CI -0.408 to 0.269); predicted benefit is within observed-gap CI; decile rank corr -0.534",Tree SHAP risk and benefit drivers,"Prioritization candidate if AUC, calibration, observed-gap direction, and uncertainty are acceptable; ROI is evaluated separately in the business value section."
GLMNET,Acceptable average test AUC (0.782),"Calibration needs review; avg abs calibration error 0.056, avg Brier 0.053","Top decile predicted benefit 0.044; observed gap not positive (-0.038, 95% CI -0.368 to 0.230); predicted benefit is within observed-gap CI; decile rank corr -0.153",Standardized coefficient/logit contribution risk and benefit drivers,"Prioritization candidate if AUC, calibration, observed-gap direction, and uncertainty are acceptable; ROI is evaluated separately in the business value section."
