rank,feature,importance
200,county_MASON,0.0
201,county_MATANUSKA_SUSITNA,0.0
202,county_MCDONOUGH,0.0
203,county_MCDOWELL,0.0
204,county_MCLEAN,0.0
205,county_MCMINN,0.0
206,county_MEIGS,0.0
207,county_MENIFEE,0.0
208,county_MERCER,0.0
209,county_MESA,0.0
210,county_MINGO,0.0
211,county_MOFFAT,0.0
212,county_MONONGALIA,0.0
213,county_MONROE,0.0
214,county_MONTGOMERY,0.0
215,county_MORGAN,0.0
216,county_MORTON,0.0
217,county_MUHLENBERG,0.0
218,county_MUSKINGUM,0.0
219,county_NASSAU,0.0
220,county_NAVAJO,0.0
221,county_NEW_LONDON,0.0
222,county_NICHOLAS,0.0
223,county_NOBLE,0.0
224,county_NORTON_CITY,0.0
225,county_NOWATA,0.0
226,county_OCONEE,0.0
227,county_OHIO,0.0
228,county_ONSLOW,0.0
229,county_ORANGE,0.0
230,county_OWEN,0.0
231,county_PARK,0.0
232,county_PARKE,0.0
233,county_PASCO,0.0
234,county_PENDLETON,0.0
235,county_PENNINGTON,0.0
236,county_PEORIA,0.0
237,county_PERQUIMANS,0.0
238,county_PERRY,0.0
239,county_PICKAWAY,0.0
240,county_PICKENS,0.0
241,state_MD,0.0
242,county_PINAL,0.0
243,county_PINELLAS,0.0
244,county_POCAHONTAS,0.0
245,county_POLK,0.0
246,county_POPE,0.0
247,county_PORTAGE,0.0
248,county_POWELL,0.0
249,county_POWHATAN,0.0
250,county_PRESTON,0.0
251,county_PRINCE_GEORGES,0.0
252,county_PULASKI,0.0
253,county_PUTNAM,0.0
254,state_ME,0.0
255,county_RANDOLPH,0.0
256,county_RICHLAND,0.0
257,county_RIO_BLANCO,0.0
258,county_RITCHIE,0.0
259,county_ROANE,0.0
260,county_ROANOKE_CITY,0.0
261,county_ROGERS,0.0
262,county_ROSEBUD,0.0
263,county_ROWAN,0.0
264,county_RUSSELL,0.0
265,county_RUTLAND,0.0
266,county_SAINT_CHARLES,0.0
267,county_SAINT_CLAIR,0.0
268,county_SAINT_JOHNS,0.0
269,county_SAINT_LUCIE,0.0
270,county_SALINE,0.0
271,county_SAN_JUAN,0.0
272,county_SANDERS,0.0
273,county_SANGAMON,0.0
274,county_SANPETE,0.0
275,county_SANTA_FE,0.0
276,county_SARASOTA,0.0
277,county_SCOTT,0.0
278,county_SEVIER,0.0
279,county_SHELBY,0.0
280,county_SHERIDAN,0.0
281,county_SMYTH,0.0
282,county_SOMERSET,0.0
283,county_SPARTANBURG,0.0
284,county_SPENCER,0.0
285,county_STANLY,0.0
286,county_STOKES,0.0
287,county_SULLIVAN,0.0
288,county_SUMMERS,0.0
289,county_SUMTER,0.0
290,county_SURRY,0.0
291,county_SUSSEX,0.0
292,county_TALLADEGA,0.0
293,county_TAYLOR,0.0
294,county_TAZEWELL,0.0
295,county_THURSTON,0.0
296,county_TIPPAH,0.0
297,county_TRIMBLE,0.0
298,county_TUCKER,0.0
299,county_TUSCALOOSA,0.0
300,county_TUSCARAWAS,0.0
301,county_TYLER,0.0
302,county_UNION,0.0
303,county_UPSHUR,0.0
304,county_VANDERBURGH,0.0
305,county_VERMILLION,0.0
306,county_VIGO,0.0
307,county_VINTON,0.0
308,county_VOLUSIA,0.0
309,county_WABASH,0.0
310,county_WAGONER,0.0
311,county_WALKER,0.0
312,county_WARREN,0.0
313,county_WARRICK,0.0
314,county_WASHINGTON,0.0
315,county_WAYNE,0.0
316,county_WEBSTER,0.0
317,county_WESTMORELAND,0.0
318,county_WETZEL,0.0
319,county_WHITE,0.0
320,county_WHITLEY,0.0
321,county_WICOMICO,0.0
322,state_MI,0.0
323,county_WIRT,0.0
324,state_MO,0.0
325,county_WOOD,0.0
326,county_WRIGHT,0.0
327,county_WYOMING,0.0
328,county_WYTHE,0.0
329,county_YAVAPAI,0.0
330,county_YELLOWSTONE,0.0
331,county_YORK,0.0
332,state_AK,0.0
333,state_MS,0.0
334,state_AZ,0.0
335,state_CO,0.0
336,state_CT,0.0
337,state_DE,0.0
338,state_FL,0.0
339,state_GA,0.0
340,state_SC,0.0
341,state_SD,0.0
342,state_TN,0.0
343,state_TX,0.0
344,state_UT,0.0
345,state_MT,0.0
346,state_VT,0.0
347,state_WA,0.0
348,state_NC,0.0
349,state_WY,0.0
350,state_ND,0.0
351,state_NM,0.0
352,state_OK,0.0
353,client_contract_The_Funds_93,0.0
354,client_contract_The_Funds_93_ALT,0.0
355,risk_tier_Missing,0.0
356,client_contract_The_Funds_PR,0.0
357,county_ALEXANDER,0.0
358,county_ALLEGHENY,0.0
359,county_APACHE,0.0
360,county_ARMSTRONG,0.0
361,county_AROOSTOOK,0.0
362,county_ATHENS,0.0
363,county_AUGUSTA,0.0
364,county_BALDWIN,0.0
365,county_BANDERA,0.0
366,county_BARBOUR,0.0
367,county_BARREN,0.0
368,county_BEAUFORT,0.0
369,county_BEAVER,0.0
370,county_BEDFORD,0.0
371,dual_elg,0.0
