model,risk_prediction_strength,probability_calibration,benefit_ranking_quality,explainability,model_evaluation_takeaway
XGBoost,Acceptable average test AUC (0.707),"Calibration needs review; avg abs calibration error 0.081, avg Brier 0.159",Top decile predicted benefit 0.163; observed gap 0.077 (95% CI -0.158 to 0.364); predicted benefit is within observed-gap CI; decile rank corr -0.236,Tree SHAP risk and benefit drivers,"Prioritization candidate if AUC, calibration, observed-gap direction, and uncertainty are acceptable; ROI is evaluated separately in the business value section."
GLMNET,Acceptable average test AUC (0.749),"Calibration needs review; avg abs calibration error 0.105, avg Brier 0.155",Top decile predicted benefit 0.584; observed gap 0.258 (95% CI -0.035 to 0.518); predicted benefit is outside observed-gap CI; decile rank corr 0.636,Standardized coefficient/logit contribution risk and benefit drivers,"Prioritization candidate if AUC, calibration, observed-gap direction, and uncertainty are acceptable; ROI is evaluated separately in the business value section."
